name,country,subcountry,geonameid,city_name,country_name,latitude,longitude,population,has_bike_sharing,climate_zone,region,data_source,city_size
Artik,Armenia,Shirak,616887,Artik,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Abovyan,Armenia,Kotayk,617026,Abovyan,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Erebuni,Armenia,Yerevan,866152,Erebuni,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Nor Nork,Armenia,Yerevan,866153,Nor Nork,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Ajapnyak,Armenia,Yerevan,866164,Ajapnyak,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Kanaker-Zeytun,Armenia,Yerevan,7647071,Kanaker-Zeytun,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Malatia-Sebastia,Armenia,Yerevan,7670934,Malatia-Sebastia,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Kentron,Armenia,Yerevan,7670941,Kentron,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Shengavit,Armenia,Yerevan,11111027,Shengavit,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Arabkir,Armenia,Yerevan,13156582,Arabkir,Armenia,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Saurimo,Angola,Lunda Sul,145531,Saurimo,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Lucapa,Angola,Luanda Norte,145724,Lucapa,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Dundo,Angola,Luanda Norte,145757,Dundo,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Chitato,Angola,Luanda Norte,145778,Chitato,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Cassanguidi,Angola,Luanda Norte,145872,Cassanguidi,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Lumbala,Angola,Moxico,876130,Lumbala,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Luau,Angola,Moxico,876177,Luau,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Cazombo,Angola,Moxico,876482,Cazombo,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Nzagi,Angola,Cuanza Norte,2236360,Nzagi,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Uíge,Angola,Uige,2236568,Uíge,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Tombôco,Angola,Zaire,2236716,Tombôco,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Soyo,Angola,Zaire,2236967,Soyo,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Songo,Angola,Uige,2236991,Songo,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Sanza Pombo,Angola,Uige,2237128,Sanza Pombo,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Ambrizette,Angola,Zaire,2239001,Ambrizette,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Negage,Angola,Uige,2239069,Negage,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
N'dalatando,Angola,Cuanza Norte,2239076,N'dalatando,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Mussende,Angola,Kwanza Sul,2239149,Mussende,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Mbanza Kongo,Angola,Zaire,2239520,Mbanza Kongo,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Maquela do Zombo,Angola,Uige,2239732,Maquela do Zombo,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Malanje,Angola,Malanje,2239862,Malanje,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Lucala,Angola,Cuanza Norte,2240393,Lucala,Angola,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
